Date;El Price;Emissionsfaktor Gesamtmix;Gaspreis;CO2-Preis
2014-01-01 00:00:00;13.15;492.603;28.019;4.97
2014-01-01 01:00:00;12.09;499.289;28.019;4.97
2014-01-01 02:00:00;11.7;494.797;28.019;4.97
2014-01-01 03:00:00;11.66;498.181;28.019;4.97
2014-01-01 04:00:00;11.35;498.748;28.019;4.97
2014-01-01 05:00:00;9.85;488.151;28.019;4.97
2014-01-01 06:00:00;9.54;484.398;28.019;4.97
2014-01-01 07:00:00;9.49;473.129;28.019;4.97
2014-01-01 08:00:00;11.64;473.654;28.019;4.97
2014-01-01 09:00:00;11.94;467.95;28.019;4.97
2014-01-01 10:00:00;12.96;466.749;28.019;4.97
2014-01-01 11:00:00;15.24;459.137;28.019;4.97
2014-01-01 12:00:00;16.96;447.73;28.019;4.97
2014-01-01 13:00:00;26.06;447.701;28.019;4.97
2014-01-01 14:00:00;32.11;457.642;28.019;4.97
2014-01-01 15:00:00;32.88;484.063;28.019;4.97
2014-01-01 16:00:00;32.22;488.194;28.019;4.97
2014-01-01 17:00:00;30.63;469.418;28.019;4.97
2014-01-01 18:00:00;28.64;460.04;28.019;4.97
2014-01-01 19:00:00;20.09;446.096;28.019;4.97
2014-01-01 20:00:00;15.1;443.535;28.019;4.97
2014-01-01 21:00:00;13.69;443.87;28.019;4.97
2014-01-01 22:00:00;15.15;437.036;28.019;4.97
2014-01-01 23:00:00;12.95;434.857;28.019;4.97
2014-01-02 00:00:00;30.86;417.147;28.019;4.97
2014-01-02 01:00:00;62.33;405.17;28.019;4.97
2014-01-02 02:00:00;52.94;401.692;28.019;4.97
2014-01-02 03:00:00;7.66;395.252;28.019;4.97
2014-01-02 04:00:00;35.9;394.829;28.019;4.97
2014-01-02 05:00:00;7.02;409.647;28.019;4.97
2014-01-02 06:00:00;0.06;437.38;28.019;4.97
2014-01-02 07:00:00;33.78;445.393;28.019;4.97
2014-01-02 08:00:00;-0.04;452.52;28.019;4.97
2014-01-02 09:00:00;37.97;457.748;28.019;4.97
2014-01-02 10:00:00;53.53;461.56;28.019;4.97
2014-01-02 11:00:00;30.63;472.196;28.019;4.97
2014-01-02 12:00:00;11.8;474.678;28.019;4.97
2014-01-02 13:00:00;30.44;474.029;28.019;4.97
2014-01-02 14:00:00;39.54;480.108;28.019;4.97
2014-01-02 15:00:00;1.92;488.847;28.019;4.97
2014-01-02 16:00:00;30.64;494.226;28.019;4.97
2014-01-02 17:00:00;7.06;490.164;28.019;4.97
2014-01-02 18:00:00;32.18;493.585;28.019;4.97
2014-01-02 19:00:00;21.31;490.345;28.019;4.97
2014-01-02 20:00:00;37.42;504.145;28.019;4.97
2014-01-02 21:00:00;36.24;512.084;28.019;4.97
2014-01-02 22:00:00;35.47;513.592;28.019;4.97
2014-01-02 23:00:00;33.56;503.311;28.019;4.97
2014-01-03 00:00:00;31.12;510.625;28.019;4.97
2014-01-03 01:00:00;30.96;513.405;28.019;4.97
2014-01-03 02:00:00;31.96;511.777;28.019;4.97
2014-01-03 03:00:00;30.96;500.822;28.019;4.97
2014-01-03 04:00:00;33.13;492.933;28.019;4.97
2014-01-03 05:00:00;13.15;484.837;28.019;4.97
2014-01-03 06:00:00;28.27;481.129;28.019;4.97
2014-01-03 07:00:00;31.94;471.174;28.019;4.97
2014-01-03 08:00:00;19.02;454.133;28.019;4.97
2014-01-03 09:00:00;30.46;437.996;28.019;4.97
2014-01-03 10:00:00;30.39;420.174;28.019;4.97
2014-01-03 11:00:00;30.43;418.179;28.019;4.97
2014-01-03 12:00:00;25.61;422.108;28.019;4.97
2014-01-03 13:00:00;36.98;437.342;28.019;4.97
2014-01-03 14:00:00;16.01;435.686;28.019;4.97
2014-01-03 15:00:00;26.32;437.396;28.019;4.97
2014-01-03 16:00:00;26.1;444.143;28.019;4.97
2014-01-03 17:00:00;24.01;449.4;28.019;4.97
2014-01-03 18:00:00;27.4;443.939;28.019;4.97
2014-01-03 19:00:00;31.45;443.822;28.019;4.97
2014-01-03 20:00:00;30.99;435.727;28.019;4.97
2014-01-03 21:00:00;31.66;417.376;28.019;4.97
2014-01-03 22:00:00;11.67;398.071;28.019;4.97
2014-01-03 23:00:00;34.97;391.481;28.019;4.97
2014-01-04 00:00:00;37.2;369.282;28.019;4.97
2014-01-04 01:00:00;29.44;363.352;28.019;4.97
2014-01-04 02:00:00;36.38;365.017;28.019;4.97
2014-01-04 03:00:00;34.96;372.467;28.019;4.97
2014-01-04 04:00:00;8.72;376.068;28.019;4.97
2014-01-04 05:00:00;34.18;380.562;28.019;4.97
2014-01-04 06:00:00;43.49;392.743;28.019;4.97
2014-01-04 07:00:00;26.86;433.52;28.019;4.97
2014-01-04 08:00:00;29.4;462.215;28.019;4.97
2014-01-04 09:00:00;40.97;476.764;28.019;4.97
2014-01-04 10:00:00;9.84;477.87;28.019;4.97
2014-01-04 11:00:00;8.96;477.606;28.019;4.97
2014-01-04 12:00:00;29.03;487.282;28.019;4.97
2014-01-04 13:00:00;24.3;500.162;28.019;4.97
2014-01-04 14:00:00;32.02;507.159;28.019;4.97
2014-01-04 15:00:00;7.93;503.883;28.019;4.97
2014-01-04 16:00:00;29.65;497.489;28.019;4.97
2014-01-04 17:00:00;31.92;484.168;28.019;4.97
2014-01-04 18:00:00;18.4;487.56;28.019;4.97
2014-01-04 19:00:00;37.32;489.688;28.019;4.97
2014-01-04 20:00:00;5.18;492.326;28.019;4.97
2014-01-04 21:00:00;10.07;497.524;28.019;4.97
2014-01-04 22:00:00;5.23;502.401;28.019;4.97
2014-01-04 23:00:00;37.36;506.808;28.019;4.97
2014-01-05 00:00:00;22.08;512.596;28.019;4.97
2014-01-05 01:00:00;40.13;517.242;28.019;4.97
2014-01-05 02:00:00;32.45;518.798;28.019;4.97
2014-01-05 03:00:00;34.67;511.335;28.019;4.97
2014-01-05 04:00:00;28.81;507.919;28.019;4.97
