Date;heat_load;feed_flow_temperature
2017-01-01 00:00:00;163.13;97.44
2017-01-01 01:00:00;162.66;97.1
2017-01-01 02:00:00;161.51;96.67
2017-01-01 03:00:00;162.84;96.2
2017-01-01 04:00:00;171.71;95.98
2017-01-01 05:00:00;180.59;94.86
2017-01-01 06:00:00;189.6;96.2
2017-01-01 07:00:00;201.71;98.33
2017-01-01 08:00:00;203.79;98.57
2017-01-01 09:00:00;203.69;98.05
2017-01-01 10:00:00;203.55;97.71
2017-01-01 11:00:00;203.36;97.57
2017-01-01 12:00:00;202.73;96.44
2017-01-01 13:00:00;201.93;95.49
2017-01-01 14:00:00;203.4;94.64
2017-01-01 15:00:00;206.05;94.57
2017-01-01 16:00:00;213.73;95.69
2017-01-01 17:00:00;213.58;95.98
2017-01-01 18:00:00;212.31;96.33
2017-01-01 19:00:00;210.5;97.73
2017-01-01 20:00:00;207.18;99.49
2017-01-01 21:00:00;196.99;101.21
2017-01-01 22:00:00;185.9;102.18
2017-01-01 23:00:00;186.82;104.56
2017-01-02 00:00:00;181.93;104.21
2017-01-02 01:00:00;181.67;102.41
2017-01-02 02:00:00;180.03;100.72
2017-01-02 03:00:00;206.26;103.79
2017-01-02 04:00:00;225.67;104.23
2017-01-02 05:00:00;252.78;106.03
2017-01-02 06:00:00;260.24;107.12
2017-01-02 07:00:00;271.62;109.07
2017-01-02 08:00:00;259.68;106.95
2017-01-02 09:00:00;238.07;104.39
2017-01-02 10:00:00;228.31;103.23
2017-01-02 11:00:00;225.6;102.79
2017-01-02 12:00:00;227.79;102.81
2017-01-02 13:00:00;228.17;102.91
2017-01-02 14:00:00;232.47;102.65
2017-01-02 15:00:00;238.82;102.2
2017-01-02 16:00:00;238.85;101.99
2017-01-02 17:00:00;251.22;103.57
2017-01-02 18:00:00;257.96;104.88
2017-01-02 19:00:00;243.8;104.82
2017-01-02 20:00:00;218.27;102.86
2017-01-02 21:00:00;205.83;103.56
2017-01-02 22:00:00;192.77;102.58
2017-01-02 23:00:00;181.88;100.69
2017-01-03 00:00:00;184.23;100.17
2017-01-03 01:00:00;189.38;99.8
2017-01-03 02:00:00;200.43;101.41
2017-01-03 03:00:00;217.94;103.63
2017-01-03 04:00:00;220.75;103.63
